Date,Name,Year,Letterboxd URI,Rating
2021-08-18,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2021-08-20,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.5
2021-08-22,The Darjeeling Limited,2007,https://boxd.it/24as,4
2021-08-23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,3
2021-08-24,Paprika,2006,https://boxd.it/23wW,4
2021-08-26,Perfect Blue,1997,https://boxd.it/1W7A,5
2021-08-27,Lost in Translation,2003,https://boxd.it/2b0E,1
2021-08-29,Isle of Dogs,2018,https://boxd.it/dZrW,4.5
2021-08-30,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2021-08-30,The Tree of Life,2011,https://boxd.it/1Zu8,1
2021-08-30,Before Midnight,2013,https://boxd.it/4ive,4
2021-08-31,Memories of Murder,2003,https://boxd.it/1TSo,5
2021-09-01,Snowpiercer,2013,https://boxd.it/3Icg,3
2021-09-01,Oldboy,2003,https://boxd.it/29R2,3.5
2021-09-05,The Host,2006,https://boxd.it/28ZY,4.5
2021-09-05,Mother,2009,https://boxd.it/1m9g,5
2021-09-05,There Will Be Blood,2007,https://boxd.it/20Z2,3
2021-09-12,Okja,2017,https://boxd.it/dvXe,3.5
2021-09-13,Boyhood,2014,https://boxd.it/3178,5
2021-09-13,Bottle Rocket,1996,https://boxd.it/1PDa,2.5
2021-09-14,The Handmaiden,2016,https://boxd.it/948A,5
2021-09-19,WHAT DID JACK DO?,2017,https://boxd.it/jcWe,3.5
2021-09-21,Tokyo Godfathers,2003,https://boxd.it/1Qg2,3
2021-09-21,Good Morning,2007,https://boxd.it/fqQc,5
2021-09-23,The Matrix,1999,https://boxd.it/2a1m,4.5
2021-09-24,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,1.5
2021-09-27,The 400 Blows,1959,https://boxd.it/2b1C,3.5
2021-09-27,Nomadland,2020,https://boxd.it/lnRy,3
2021-09-27,Cléo from 5 to 7,1962,https://boxd.it/2agm,4.5
2021-09-27,Lost Highway,1997,https://boxd.it/29Wc,5
2021-09-28,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2021-10-03,The Lighthouse,2019,https://boxd.it/icFU,4.5
2021-10-04,In the Mood for Love,2000,https://boxd.it/29tE,5
2021-10-04,The Matrix Reloaded,2003,https://boxd.it/2a1c,3.5
